2016-06-21 12:52:47.737 : Sofer :00123336 , borderou = 0001400232
2016-06-21 12:52:50.607 : Sofer :00120505 , borderou = 0001400232
2016-06-21 12:52:53.494 : Sofer :00120509 , borderou = 0001400232
2016-06-21 12:52:56.34 : Sofer :00120510 , borderou = 0001400232
2016-06-21 12:52:59.11 : Sofer :00120516 , borderou = 0001400232
2016-06-21 12:53:01.243 : Sofer :00120547 , borderou = 0001400232
2016-06-21 12:53:03.594 : Sofer :00120561 , borderou = 0001400232
2016-06-21 12:53:05.924 : Sofer :00120570 , borderou = 0001400232
2016-06-21 12:53:08.146 : Sofer :00120975 , borderou = 0001400232
2016-06-21 12:53:10.287 : Sofer :00121255 , borderou = 0001400232
2016-06-21 12:53:12.685 : Sofer :00121845 , borderou = 0001400232
2016-06-21 12:53:14.793 : Sofer :00122622 , borderou = 0001400232
2016-06-21 12:53:16.895 : Sofer :00122743 , borderou = 0001400232
2016-06-21 12:53:18.543 : Sofer :00122857 , borderou = 0001400232
2016-06-21 12:53:20.686 : Sofer :00122949 , borderou = 0001400232
2016-06-21 12:53:22.784 : Sofer :00123008 , borderou = 0001400232
2016-06-21 12:53:26.495 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:42:33.842 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:42:35.972 : Sofer :00123085 , borderou = 0001400232
2016-06-21 13:42:38.231 : Sofer :00123086 , borderou = 0001400232
2016-06-21 13:42:40.617 : Sofer :00123108 , borderou = 0001400232
2016-06-21 13:42:42.877 : Sofer :00123109 , borderou = 0001400232
2016-06-21 13:42:45.577 : Sofer :00123124 , borderou = 0001400232
2016-06-21 13:42:47.906 : Sofer :00123129 , borderou = 0001400232
2016-06-21 13:42:50.223 : Sofer :00123131 , borderou = 0001400232
2016-06-21 13:42:52.474 : Sofer :00123137 , borderou = 0001400232
2016-06-21 13:42:54.677 : Sofer :00123140 , borderou = 0001400232
2016-06-21 13:42:56.896 : Sofer :00123165 , borderou = 0001400232
2016-06-21 13:42:59.072 : Sofer :00123166 , borderou = 0001400232
2016-06-21 13:43:01.167 : Sofer :00123203 , borderou = 0001400232
2016-06-21 13:43:03.086 : Sofer :00123263 , borderou = 0001400232
2016-06-21 13:43:03.536 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:43:05.445 : Sofer :00123280 , borderou = 0001400232
2016-06-21 13:43:05.445 : Sofer :00123085 , borderou = 0001400232
2016-06-21 13:43:08.014 : Sofer :00123086 , borderou = 0001400232
2016-06-21 13:43:08.016 : Sofer :00123281 , borderou = 0001400232
2016-06-21 13:43:10.31 : Sofer :00123108 , borderou = 0001400232
2016-06-21 13:43:10.311 : Sofer :00123300 , borderou = 0001400232
2016-06-21 13:43:12.964 : Sofer :00123109 , borderou = 0001400232
2016-06-21 13:43:13.037 : Sofer :00123335 , borderou = 0001400232
2016-06-21 13:43:15.225 : Sofer :00123124 , borderou = 0001400232
2016-06-21 13:43:15.226 : Sofer :00123336 , borderou = 0001400232
2016-06-21 13:43:17.685 : Sofer :00120505 , borderou = 0001400232
2016-06-21 13:43:17.685 : Sofer :00123129 , borderou = 0001400232
2016-06-21 13:43:20.02 : Sofer :00120509 , borderou = 0001400232
2016-06-21 13:43:20.02 : Sofer :00123131 , borderou = 0001400232
2016-06-21 13:43:22.285 : Sofer :00123137 , borderou = 0001400232
2016-06-21 13:43:22.285 : Sofer :00120510 , borderou = 0001400232
2016-06-21 13:43:24.763 : Sofer :00120516 , borderou = 0001400232
2016-06-21 13:43:24.763 : Sofer :00123140 , borderou = 0001400232
2016-06-21 13:43:27.582 : Sofer :00123165 , borderou = 0001400232
2016-06-21 13:43:27.582 : Sofer :00120547 , borderou = 0001400232
2016-06-21 13:43:30.588 : Sofer :00120561 , borderou = 0001400232
2016-06-21 13:43:30.588 : Sofer :00123166 , borderou = 0001400232
2016-06-21 13:43:33.16 : Sofer :00123203 , borderou = 0001400232
2016-06-21 13:43:33.16 : Sofer :00120570 , borderou = 0001400232
2016-06-21 13:43:34.205 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:43:35.626 : Sofer :00123263 , borderou = 0001400232
2016-06-21 13:43:35.626 : Sofer :00120975 , borderou = 0001400232
2016-06-21 13:43:37.99 : Sofer :00123280 , borderou = 0001400232
2016-06-21 13:43:37.99 : Sofer :00121255 , borderou = 0001400232
2016-06-21 13:43:40.27 : Sofer :00123281 , borderou = 0001400232
2016-06-21 13:43:40.27 : Sofer :00121845 , borderou = 0001400232
2016-06-21 13:43:42.623 : Sofer :00123300 , borderou = 0001400232
2016-06-21 13:43:42.624 : Sofer :00122622 , borderou = 0001400232
2016-06-21 13:43:44.958 : Sofer :00122743 , borderou = 0001400232
2016-06-21 13:43:44.958 : Sofer :00123335 , borderou = 0001400232
2016-06-21 13:43:45.96 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:43:47.419 : Sofer :00122857 , borderou = 0001400232
2016-06-21 13:43:47.419 : Sofer :00123336 , borderou = 0001400232
2016-06-21 13:43:49.836 : Sofer :00120505 , borderou = 0001400232
2016-06-21 13:43:49.837 : Sofer :00122949 , borderou = 0001400232
2016-06-21 13:43:52.086 : Sofer :00120509 , borderou = 0001400232
2016-06-21 13:43:52.086 : Sofer :00123008 , borderou = 0001400232
2016-06-21 13:43:54.422 : Sofer :00120510 , borderou = 0001400232
2016-06-21 13:43:56.556 : Sofer :00120516 , borderou = 0001400232
2016-06-21 13:43:58.843 : Sofer :00120547 , borderou = 0001400232
2016-06-21 13:44:01.045 : Sofer :00120561 , borderou = 0001400232
2016-06-21 13:44:03.404 : Sofer :00120570 , borderou = 0001400232
2016-06-21 13:44:03.898 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:44:05.932 : Sofer :00120975 , borderou = 0001400232
2016-06-21 13:44:08.419 : Sofer :00121255 , borderou = 0001400232
2016-06-21 13:44:10.748 : Sofer :00121845 , borderou = 0001400232
2016-06-21 13:44:13.172 : Sofer :00122622 , borderou = 0001400232
2016-06-21 13:44:15.286 : Sofer :00122743 , borderou = 0001400232
2016-06-21 13:44:17.602 : Sofer :00122857 , borderou = 0001400232
2016-06-21 13:44:19.707 : Sofer :00122949 , borderou = 0001400232
2016-06-21 13:44:21.857 : Sofer :00123008 , borderou = 0001400232
2016-06-21 13:48:14.67 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:48:16.875 : Sofer :00123085 , borderou = 0001400232
2016-06-21 13:48:19.117 : Sofer :00123086 , borderou = 0001400232
2016-06-21 13:48:21.465 : Sofer :00123108 , borderou = 0001400232
2016-06-21 13:48:23.706 : Sofer :00123109 , borderou = 0001400232
2016-06-21 13:48:26.054 : Sofer :00123124 , borderou = 0001400232
2016-06-21 13:48:28.846 : Sofer :00123129 , borderou = 0001400232
2016-06-21 13:48:31.626 : Sofer :00123131 , borderou = 0001400232
2016-06-21 13:48:33.734 : Sofer :00123137 , borderou = 0001400232
2016-06-21 13:48:35.953 : Sofer :00123140 , borderou = 0001400232
2016-06-21 13:48:38.165 : Sofer :00123165 , borderou = 0001400232
2016-06-21 13:48:40.36 : Sofer :00123166 , borderou = 0001400232
2016-06-21 13:48:42.646 : Sofer :00123203 , borderou = 0001400232
2016-06-21 13:48:45.059 : Sofer :00123263 , borderou = 0001400232
2016-06-21 13:48:47.217 : Sofer :00123280 , borderou = 0001400232
2016-06-21 13:48:49.323 : Sofer :00123281 , borderou = 0001400232
2016-06-21 13:48:51.471 : Sofer :00123300 , borderou = 0001400232
2016-06-21 13:48:53.847 : Sofer :00123335 , borderou = 0001400232
2016-06-21 13:48:55.727 : Sofer :00123336 , borderou = 0001400232
2016-06-21 13:48:58.001 : Sofer :00120505 , borderou = 0001400232
2016-06-21 13:49:00.214 : Sofer :00120509 , borderou = 0001400232
2016-06-21 13:49:02.576 : Sofer :00120510 , borderou = 0001400232
2016-06-21 13:49:04.86 : Sofer :00120516 , borderou = 0001400232
2016-06-21 13:49:07.048 : Sofer :00120547 , borderou = 0001400232
2016-06-21 13:49:09.266 : Sofer :00120561 , borderou = 0001400232
2016-06-21 13:49:11.634 : Sofer :00120570 , borderou = 0001400232
2016-06-21 13:49:14.085 : Sofer :00120975 , borderou = 0001400232
2016-06-21 13:49:16.356 : Sofer :00121255 , borderou = 0001400232
2016-06-21 13:49:18.482 : Sofer :00121845 , borderou = 0001400232
2016-06-21 13:49:20.558 : Sofer :00122622 , borderou = 0001400232
2016-06-21 13:49:23.426 : Sofer :00122743 , borderou = 0001400232
2016-06-21 13:49:25.984 : Sofer :00122857 , borderou = 0001400232
2016-06-21 13:49:28.589 : Sofer :00122949 , borderou = 0001400232
2016-06-21 13:49:31.198 : Sofer :00123008 , borderou = 0001400232
2016-06-21 13:54:08.218 : Sofer :00123065 , borderou = 0001400232
2016-06-21 13:54:10.449 : Sofer :00123085 , borderou = 0001400232
2016-06-21 13:54:13.028 : Sofer :00123086 , borderou = 0001400232
2016-06-21 13:54:15.499 : Sofer :00123108 , borderou = 0001400232
2016-06-21 13:54:17.708 : Sofer :00123109 , borderou = 0001400232
2016-06-21 13:54:19.976 : Sofer :00123124 , borderou = 0001400232
2016-06-21 13:54:22.101 : Sofer :00123129 , borderou = 0001400232
2016-06-21 13:54:24.349 : Sofer :00123131 , borderou = 0001400232
2016-06-21 13:54:27.268 : Sofer :00123137 , borderou = 0001400232
2016-06-21 13:54:30.248 : Sofer :00123140 , borderou = 0001400232
2016-06-21 13:54:32.991 : Sofer :00123165 , borderou = 0001400232
2016-06-21 13:54:35.437 : Sofer :00123166 , borderou = 0001400232
2016-06-21 13:54:37.772 : Sofer :00123203 , borderou = 0001400232
2016-06-21 13:54:40.228 : Sofer :00123263 , borderou = 0001400232
2016-06-21 13:54:42.419 : Sofer :00123280 , borderou = 0001400232
2016-06-21 13:54:44.793 : Sofer :00123281 , borderou = 0001400232
2016-06-21 13:54:47.156 : Sofer :00123300 , borderou = 0001400232
2016-06-21 13:54:49.357 : Sofer :00123335 , borderou = 0001400232
2016-06-21 13:54:51.758 : Sofer :00123336 , borderou = 0001400232
2016-06-21 13:54:53.859 : Sofer :00120505 , borderou = 0001400232
2016-06-21 13:54:56.05 : Sofer :00120509 , borderou = 0001400232
2016-06-21 13:54:58.254 : Sofer :00120510 , borderou = 0001400232
2016-06-21 13:55:00.001 : Sofer :00120516 , borderou = 0001400232
2016-06-21 13:55:02.393 : Sofer :00120547 , borderou = 0001400232
2016-06-21 13:55:04.821 : Sofer :00120561 , borderou = 0001400232
2016-06-21 13:55:07.29 : Sofer :00120570 , borderou = 0001400232
2016-06-21 13:55:09.6 : Sofer :00120975 , borderou = 0001400232
2016-06-21 13:55:12.218 : Sofer :00121255 , borderou = 0001400232
2016-06-21 13:55:14.598 : Sofer :00121845 , borderou = 0001400232
2016-06-21 13:55:16.85 : Sofer :00122622 , borderou = 0001400232
2016-06-21 13:55:18.972 : Sofer :00122743 , borderou = 0001400232
2016-06-21 13:55:21.21 : Sofer :00122857 , borderou = 0001400232
2016-06-21 13:55:23.366 : Sofer :00122949 , borderou = 0001400232
2016-06-21 13:55:25.979 : Sofer :00123008 , borderou = 0001400232
2016-06-22 11:43:09.234 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:43:50.524 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:44:28.214 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:46:58.703 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:47:47.887 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:51:54.826 : Sofer :00123065 , borderou = 0001479407
2016-06-22 11:54:07.839 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:07:15.02 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:07:58.236 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:07:59.463 : Sofer :00123085 , borderou = 0001479413
2016-06-22 12:08:00.564 : Sofer :00123086 , borderou = 0001479369
2016-06-22 12:08:01.732 : Sofer :00123108 , borderou = 0001479404
2016-06-22 12:08:02.761 : Sofer :00123109 , borderou = 0001479206
2016-06-22 12:08:03.724 : Sofer :00123124 , borderou = null
2016-06-22 12:08:04.188 : Sofer :00123129 , borderou = 0001478966
2016-06-22 12:08:05.218 : Sofer :00123131 , borderou = null
2016-06-22 12:08:05.701 : Sofer :00123137 , borderou = null
2016-06-22 12:08:06.173 : Sofer :00123140 , borderou = 0001479364
2016-06-22 12:08:07.639 : Sofer :00123165 , borderou = null
2016-06-22 12:08:08.046 : Sofer :00123166 , borderou = 0001479582
2016-06-22 12:08:09.012 : Sofer :00123203 , borderou = 0001479348
2016-06-22 12:08:10.192 : Sofer :00123263 , borderou = null
2016-06-22 12:08:10.658 : Sofer :00123280 , borderou = null
2016-06-22 12:08:11.183 : Sofer :00123281 , borderou = null
2016-06-22 12:08:11.653 : Sofer :00123300 , borderou = null
2016-06-22 12:08:12.098 : Sofer :00123335 , borderou = 0001479481
2016-06-22 12:08:13.26 : Sofer :00123336 , borderou = null
2016-06-22 12:08:13.674 : Sofer :00120505 , borderou = 0001479390
2016-06-22 12:08:14.823 : Sofer :00120509 , borderou = 0001479237
2016-06-22 12:08:15.795 : Sofer :00120510 , borderou = null
2016-06-22 12:08:16.201 : Sofer :00120516 , borderou = 0001479297
2016-06-22 12:08:17.172 : Sofer :00120547 , borderou = 0001479384
2016-06-22 12:08:18.168 : Sofer :00120561 , borderou = 0001479302
2016-06-22 12:08:19.164 : Sofer :00120570 , borderou = 0001479359
2016-06-22 12:08:20.605 : Sofer :00120975 , borderou = 0001479354
2016-06-22 12:08:21.557 : Sofer :00121255 , borderou = 0001479129
2016-06-22 12:08:22.617 : Sofer :00121845 , borderou = 0001479409
2016-06-22 12:08:23.52 : Sofer :00122622 , borderou = null
2016-06-22 12:08:23.979 : Sofer :00122743 , borderou = null
2016-06-22 12:08:24.37 : Sofer :00122857 , borderou = null
2016-06-22 12:08:24.801 : Sofer :00122949 , borderou = null
2016-06-22 12:08:25.26 : Sofer :00123008 , borderou = null
2016-06-22 12:08:36.971 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:11:12.502 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:11:44.532 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:11:45.907 : Sofer :00123085 , borderou = 0001479413
2016-06-22 12:11:46.888 : Sofer :00123086 , borderou = 0001479369
2016-06-22 12:11:47.986 : Sofer :00123108 , borderou = 0001479404
2016-06-22 12:11:48.953 : Sofer :00123109 , borderou = 0001479206
2016-06-22 12:11:49.903 : Sofer :00123124 , borderou = null
2016-06-22 12:11:50.37 : Sofer :00123129 , borderou = 0001478966
2016-06-22 12:11:51.34 : Sofer :00123131 , borderou = null
2016-06-22 12:11:51.817 : Sofer :00123137 , borderou = null
2016-06-22 12:11:52.23 : Sofer :00123140 , borderou = 0001479364
2016-06-22 12:11:53.839 : Sofer :00123165 , borderou = null
2016-06-22 12:11:54.364 : Sofer :00123166 , borderou = 0001479582
2016-06-22 12:11:55.547 : Sofer :00123203 , borderou = 0001479348
2016-06-22 12:11:56.659 : Sofer :00123263 , borderou = null
2016-06-22 12:11:57.074 : Sofer :00123280 , borderou = null
2016-06-22 12:11:57.483 : Sofer :00123281 , borderou = null
2016-06-22 12:11:58.016 : Sofer :00123300 , borderou = null
2016-06-22 12:11:58.56 : Sofer :00123335 , borderou = 0001479481
2016-06-22 12:11:59.656 : Sofer :00123336 , borderou = null
2016-06-22 12:12:00.076 : Sofer :00120505 , borderou = 0001479390
2016-06-22 12:12:01.076 : Sofer :00120509 , borderou = 0001479237
2016-06-22 12:12:02.116 : Sofer :00120510 , borderou = null
2016-06-22 12:12:02.522 : Sofer :00120516 , borderou = 0001479297
2016-06-22 12:12:03.471 : Sofer :00120547 , borderou = 0001479384
2016-06-22 12:12:04.616 : Sofer :00120561 , borderou = 0001479302
2016-06-22 12:12:05.614 : Sofer :00120570 , borderou = 0001479359
2016-06-22 12:12:06.909 : Sofer :00120975 , borderou = 0001479354
2016-06-22 12:12:08.044 : Sofer :00121255 , borderou = 0001479129
2016-06-22 12:12:09.128 : Sofer :00121845 , borderou = 0001479409
2016-06-22 12:12:10.08 : Sofer :00122622 , borderou = null
2016-06-22 12:12:10.572 : Sofer :00122743 , borderou = null
2016-06-22 12:12:10.981 : Sofer :00122857 , borderou = null
2016-06-22 12:12:11.388 : Sofer :00122949 , borderou = null
2016-06-22 12:12:11.852 : Sofer :00123008 , borderou = null
2016-06-22 12:16:05.871 : Sofer :00123065 , borderou = 0001479407
2016-06-22 12:16:07.409 : Sofer :00123085 , borderou = 0001479413
2016-06-22 12:16:08.372 : Sofer :00123086 , borderou = 0001479369
2016-06-22 12:16:09.537 : Sofer :00123108 , borderou = 0001479404
2016-06-22 12:16:10.556 : Sofer :00123109 , borderou = 0001479206
2016-06-22 12:16:11.509 : Sofer :00123124 , borderou = null
2016-06-22 12:16:11.941 : Sofer :00123129 , borderou = 0001478966
2016-06-22 12:16:12.901 : Sofer :00123131 , borderou = null
2016-06-22 12:16:13.361 : Sofer :00123137 , borderou = null
2016-06-22 12:16:13.853 : Sofer :00123140 , borderou = 0001479364
2016-06-22 12:16:15.301 : Sofer :00123165 , borderou = null
2016-06-22 12:16:15.758 : Sofer :00123166 , borderou = 0001479582
2016-06-22 12:16:16.781 : Sofer :00123203 , borderou = 0001479348
2016-06-22 12:16:17.846 : Sofer :00123263 , borderou = null
2016-06-22 12:16:18.287 : Sofer :00123280 , borderou = null
2016-06-22 12:16:18.758 : Sofer :00123281 , borderou = null
2016-06-22 12:16:19.268 : Sofer :00123300 , borderou = null
2016-06-22 12:16:19.661 : Sofer :00123335 , borderou = 0001479481
2016-06-22 12:16:20.767 : Sofer :00123336 , borderou = null
2016-06-22 12:16:21.239 : Sofer :00120505 , borderou = 0001479390
2016-06-22 12:16:22.269 : Sofer :00120509 , borderou = 0001479237
2016-06-22 12:16:23.303 : Sofer :00120510 , borderou = null
2016-06-22 12:16:23.727 : Sofer :00120516 , borderou = 0001479297
2016-06-22 12:16:24.714 : Sofer :00120547 , borderou = 0001479384
2016-06-22 12:16:25.627 : Sofer :00120561 , borderou = 0001479302
2016-06-22 12:16:26.543 : Sofer :00120570 , borderou = 0001479359
2016-06-22 12:16:27.859 : Sofer :00120975 , borderou = 0001479354
2016-06-22 12:16:28.871 : Sofer :00121255 , borderou = 0001479129
2016-06-22 12:16:29.971 : Sofer :00121845 , borderou = 0001479409
2016-06-22 12:16:30.943 : Sofer :00122622 , borderou = null
2016-06-22 12:16:31.583 : Sofer :00122743 , borderou = null
